=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 125 of 133
runtime_tpchd_SQLServer_testonMac faster: 123 queries (98.4%)
runtime_tpchd_trainonVM_testonMac faster: 2 queries (1.6%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 123 of 125 comparable queries (98.4%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 17 of 133
"Mean difference (n=17): 14,315.12 ms"
"Median difference (n=17): 8,684.00 ms"
runtime_tpchd_SQLServer_testonMac faster: 15 queries (88.2%)
runtime_tpchd_trainonVM_testonMac faster: 2 queries (11.8%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 15 of 17 head-to-head queries (88.2%)

Query,runtime_tpchd_SQLServer_testonMac Runtime (ms),runtime_tpchd_trainonVM_testonMac Runtime (ms),Faster Model,Difference
Job68v4,"16,122","64,549",runtime_tpchd_SQLServer_testonMac,"48,427 ms faster"
Job6v1,"22,551",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job6v2,"54,557",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job6v3,"7,051",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job6v4,"8,979","85,266",runtime_tpchd_SQLServer_testonMac,"76,287 ms faster"
Job74v0,73,131,runtime_tpchd_SQLServer_testonMac,58 ms faster
Job74v2,"5,775",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job74v4,32,174,runtime_tpchd_SQLServer_testonMac,142 ms faster
Job75v2,"4,279","7,824",runtime_tpchd_SQLServer_testonMac,"3,545 ms faster"
Job76v0,"10,749",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job76v2,34,312,runtime_tpchd_SQLServer_testonMac,278 ms faster
Job76v3,"97,846",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job76v4,"17,401","27,511",runtime_tpchd_SQLServer_testonMac,"10,110 ms faster"
Job78v4,214,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job79v0,"49,140",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job85v3,"2,649",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job90v2,"9,098",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job91v2,402,277,runtime_tpchd_trainonVM_testonMac,-125 ms slower
Job9v1,"1,724",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job9v3,"1,173",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job9v4,"1,378",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
