=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 124 of 133
runtime_tpchd_SQLServer_testonVM faster: 114 queries (91.9%)
runtime_tpchd_trainonMac_testonVM faster: 10 queries (8.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 114 of 124 comparable queries (91.9%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 50 of 133
"Mean difference (n=50): 53,911.86 ms"
"Median difference (n=50): 9,858.50 ms"
runtime_tpchd_SQLServer_testonVM faster: 43 queries (86.0%)
runtime_tpchd_trainonMac_testonVM faster: 7 queries (14.0%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 43 of 50 head-to-head queries (86.0%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonMac_testonVM Runtime (ms),Faster Model,Difference
Job369v4,"84,329",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job37v0,"4,934",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job37v3,"11,444","15,978",runtime_tpchd_SQLServer_testonVM,"4,534 ms faster"
Job37v4,"4,882",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job38v0,"508,986",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job38v1,"41,443","139,934",runtime_tpchd_SQLServer_testonVM,"98,491 ms faster"
Job38v2,"14,546",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job38v3,"15,363",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job39v1,"1,045","1,904",runtime_tpchd_SQLServer_testonVM,859 ms faster
Job39v3,70,438,runtime_tpchd_SQLServer_testonVM,368 ms faster
Job44v3,"180,216",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job46v0,"2,268",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job46v1,719,808,runtime_tpchd_SQLServer_testonVM,89 ms faster
Job46v2,904,"1,058",runtime_tpchd_SQLServer_testonVM,154 ms faster
Job46v3,"6,620","14,431",runtime_tpchd_SQLServer_testonVM,"7,811 ms faster"
